artist,country,place_final,points_final,title,year
Fredi and The Friends,Finland,11.0,44.0,Pump-pump,1976
Catherine Ferry,France,2.0,147.0,"Un, Deux, Trois",1976
Les Humphries Singers,Germany,15.0,12.0,"Sing, Sang, Song",1976
Mariza Koch,Greece,13.0,20.0,"Panaghia Mou, Panaghia Mou",1976
Red Hurley,Ireland,10.0,54.0,When,1976
"Chocolate, Menta, Mastik",Israel,6.0,77.0,Emor Shalom,1976
Romina and Al Bano,Italy,7.0,69.0,We'll Live It All Again,1976
Jürgen Marcus,Luxembourg,14.0,17.0,Chansons Pour Ceux Qui S'aiment,1976
Mary Christy,Monaco,3.0,93.0,"Toi, La Musique Et Moi",1976
Sandra Reemer,Netherlands,9.0,56.0,The Party's Over Now,1976
Anne-Karine Ström,Norway,18.0,7.0,Mata Hari,1976
Carlos do Carmo,Portugal,12.0,24.0,Uma Flor De Verde Pinho,1976
Braulio,Spain,16.0,11.0,Sobran Las Palabras,1976
"Peter, Sue and Marc",Switzerland,4.0,91.0,"Djambo, Djambo",1976
Brotherhood of Man,United Kingdom,1.0,164.0,Save Your Kisses For Me,1976
Ambasadori,Yugoslavia,17.0,10.0,Ne Mogu Skriti Svoju Bol,1976
Ann Christy,Belgium,15.0,17.0,Gelukkig Zijn,1975
Pihasoittajat,Finland,7.0,74.0,Old Man Fiddle,1975
Nicole Rieu,France,4.0,91.0,Et Bonjour à Toi L'artiste,1975
Joy Fleming,Germany,17.0,15.0,Ein Lied Kann Eine Brücke Sein,1975
The Swarbriggs,Ireland,9.0,68.0,That's What Friends Are For,1975
Shlomo Artzi,Israel,11.0,40.0,At Ve'ani,1975
Wess and Dori Ghezzi,Italy,3.0,115.0,Era,1975
Géraldine,Luxembourg,5.0,84.0,Toi,1975
Renato,Malta,12.0,32.0,Singing This Song,1975
Sophie,Monaco,13.0,22.0,Une Chanson C'est Une Lettre,1975
Teach-In,Netherlands,1.0,152.0,Ding-A-Dong,1975
Ellen Nikolaysen,Norway,18.0,11.0,You Touched My Life With Summer,1975
Duarte Mendes,Portugal,16.0,16.0,Madrugada,1975
Sergio y Estíbaliz,Spain,10.0,53.0,Tú Volverás,1975
Lars Berghagen and the Dolls,Sweden,8.0,72.0,"Jennie, Jennie",1975
Simone Drexel,Switzerland,6.0,77.0,Mikado,1975
Semiha Yanki,Turkey,19.0,3.0,Seninle Bir Dakika,1975
The Shadows,United Kingdom,2.0,138.0,Let Me Be The One,1975
Pepel In Kri,Yugoslavia,13.0,22.0,Dan Ljubezni,1975
Jacques Hustin,Belgium,9.0,10.0,Fleur De Liberté,1974
Carita,Finland,13.0,4.0,Äla Mene Pois (Keep Me Warm),1974
Cindy und Bert,Germany,14.0,3.0,Die Sommermelodie,1974
Marinella,Greece,11.0,7.0,"Krassi, Thalassa Ke T'agori Mou",1974
Tina,Ireland,7.0,11.0,Cross Your Heart,1974
Poogy,Israel,7.0,11.0,Natati La Khaiai,1974
Gigliola Cinquetti,Italy,2.0,18.0,Si,1974
Ireen Sheer,Luxembourg,4.0,14.0,"Bye, Bye, I Love You",1974
Romuald,Monaco,4.0,14.0,Celui Qui Reste Et Celui Qui S'en Va,1974
Mouth and MacNeal,Netherlands,3.0,15.0,I See A Star,1974
Anne-Karine Ström and the Bendik Singers,Norway,14.0,3.0,The First Day Of Love,1974
Paulo de Carvalho,Portugal,14.0,3.0,E Depois Do Adeus,1974
Peret,Spain,9.0,10.0,Canta Y Se Feliz,1974
ABBA,Sweden,1.0,24.0,Waterloo,1974
Piera Martell,Switzerland,14.0,3.0,Mein Ruf Nach Dir,1974
Olivia Newton-John,United Kingdom,4.0,14.0,Long Live Love,1974
Korni,Yugoslavia,12.0,6.0,Generacija 42,1974
Nicole and Hugo,Belgium,17.0,58.0,"Baby, Baby",1973
Marion Rung,Finland,6.0,93.0,Tom Tom Tom,1973
Martine Clémenceau,France,15.0,65.0,Sans Toi,1973
Gitte,Germany,8.0,85.0,Junger Tag,1973
Maxi,Ireland,10.0,80.0,Do I Dream?,1973
Ilanit,Israel,4.0,97.0,Ey-sham,1973
Massimo Ranieri,Italy,13.0,74.0,Chi Sarà Con Te,1973
Anne-Marie David,Luxembourg,1.0,129.0,Tu Te Reconnaîtras,1973
Marie,Monaco,8.0,85.0,Un Train Qui Part,1973
Ben Cramer,Netherlands,14.0,69.0,De Oude Muzikant,1973
Bendik Singers,Norway,7.0,89.0,It's Just A Game,1973
Fernando Tordo,Portugal,10.0,80.0,Tourada,1973
Mocedades,Spain,2.0,125.0,Eres Tú,1973
The Nova and The Dolls,Sweden,5.0,94.0,You're Summer,1973
Patrick Juvet,Switzerland,12.0,79.0,"Je Me Vais Marier, Marie",1973
Cliff Richard,United Kingdom,3.0,123.0,Power To All Our Friends,1973
Zdravko Colic,Yugoslavia,15.0,65.0,Gori Vatra,1973
The Milestones,Austria,5.0,100.0,Falter Im Wind,1972
Serge and Christine Ghisoland,Belgium,17.0,55.0,À La Folie Ou Pas Du Tout,1972
Päivi Paunu and Kim Floor,Finland,12.0,78.0,Muistathan,1972
Betty Mars,France,11.0,81.0,Comé-comédie,1972
Mary Roos,Germany,3.0,107.0,Nur Die Liebe Läßt Uns Leben,1972
Sandie Jones,Ireland,15.0,72.0,Ceol On Ghrá,1972
Nicola di Bari,Italy,6.0,92.0,I Giorni Dell' Arcobaleno,1972
Vicky Leandros,Luxembourg,1.0,128.0,Après Toi,1972
Helen and Joseph,Malta,18.0,48.0,L-imhabba,1972
Anne-Marie Godart and Peter MacLane,Monaco,16.0,65.0,Comme On S'aime,1972
Sandra and Andres,Netherlands,4.0,106.0,Als Het Om De Liefde Gaat,1972
Grethe Kausland and Benny Borg,Norway,14.0,73.0,Småting,1972
Carlos Mendes,Portugal,7.0,90.0,A Festa Da Vida,1972
Jaime Morey,Spain,10.0,83.0,Amanece,1972
Family Four,Sweden,13.0,75.0,Härliga Sommardag,1972
Véronique Müller,Switzerland,8.0,88.0,C'est La Chanson De Mon Amour,1972
The New Seekers,United Kingdom,2.0,114.0,"Beg, Steal Or Borrow",1972
Tereza,Yugoslavia,9.0,87.0,Muzika I Ti,1972
Marianne Mendt,Austria,16.0,66.0,Musik,1971
Lily Castel and Jacques Raymond,Belgium,14.0,68.0,"Goeie Morgen, Morgen",1971
Markku Aro and Koivisto Sisters,Finland,8.0,84.0,Tie Uuteen Päivään,1971
Serge Lama,France,10.0,82.0,Un Jardin Sur La Terre,1971
Katja Ebstein,Germany,3.0,100.0,Diese Welt,1971
Angela Farrell,Ireland,11.0,79.0,One Day Love,1971
Massimo Ranieri,Italy,5.0,91.0,L'amore è Un Attimo,1971
Monique Melsen,Luxembourg,13.0,70.0,"Pomme, Pomme, Pomme",1971
Joe Grech,Malta,18.0,52.0,Marija L-maltija,1971
Séverine,Monaco,1.0,128.0,"Un Banc, Un Arbre, Une Rue",1971
Saskia and Serge,Netherlands,6.0,85.0,De Tijd,1971
Hanne Krogh,Norway,17.0,65.0,Lykken Er...,1971
Tonicha,Portugal,9.0,83.0,Menina Do Alto Da Serra,1971
Karina,Spain,2.0,116.0,En Un Mundo Nuevo,1971
Family Four,Sweden,6.0,85.0,Vita Vidder,1971
"Peter, Sue and Marc",Switzerland,12.0,78.0,Les Illusions De Nos Vingt Ans,1971
Clodagh Rodgers,United Kingdom,4.0,98.0,Jack In The Box,1971
Krunoslav Slabinac,Yugoslavia,14.0,68.0,Tvoj Djecak Je Tuzan,1971
Jean Vallée,Belgium,8.0,5.0,Viens L'oublier,1970
Guy Bonnet,France,4.0,8.0,Marie Blanche,1970
Katja Ebstein,Germany,3.0,12.0,Wunder Gibt Es Immer Wieder,1970
Dana,Ireland,1.0,32.0,All Kinds Of Everything,1970
Gianni Morandi,Italy,8.0,5.0,Occhi Di Ragazza,1970
David-Alexandre Winter,Luxembourg,12.0,0.0,Je Suis Tombé Du Ciel,1970
Dominique Dussault,Monaco,8.0,5.0,Marlène,1970
Patricia and Hearts of Soul,Netherlands,7.0,7.0,Waterman,1970
Julio Iglesias,Spain,4.0,8.0,Gwendolyne,1970
Henri Dès,Switzerland,4.0,8.0,Retour,1970
Mary Hopkin,United Kingdom,2.0,26.0,"Knock, Knock (who's There?)",1970
Eva Sren,Yugoslavia,11.0,4.0,"Pridi, Dala Ti Bom Cvet",1970
Louis Neefs,Belgium,7.0,10.0,Jennifer Jennings,1969
Jarkko and Laura,Finland,12.0,6.0,Kuin Silloin Ennen,1969
Frida Boccara,France,1.0,18.0,"Un Jour, Un Enfant",1969
Siw Malmkvist,Germany,9.0,8.0,Primaballerina,1969
Muriel Day and the Lindsays,Ireland,7.0,10.0,The Wages Of Love,1969
Iva Zanicchi,Italy,13.0,5.0,Due Grosse Lacrime Bianche,1969
Romuald,Luxembourg,11.0,7.0,Cathérine,1969
Jean-Jacques,Monaco,6.0,11.0,"Maman, Maman",1969
Lenny Kuhr,Netherlands,1.0,18.0,De Troubadour,1969
Kirsti Sparboe,Norway,16.0,1.0,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli",1969
Simone de Oliveira,Portugal,15.0,4.0,Desfolhada Portuguesa,1969
Salomé,Spain,1.0,18.0,Vivo Cantando,1969
Tommy Körberg,Sweden,9.0,8.0,"Judy, Min Vän",1969
Paola del Medico,Switzerland,5.0,13.0,"Bonjour, Bonjour",1969
Lulu,United Kingdom,1.0,18.0,Boom Bang-a-bang,1969
Ivan,Yugoslavia,13.0,5.0,Pozdrav Svijetu,1969
Karel Gott,Austria,13.0,2.0,Tausend Fenster,1968
Claude Lombard,Belgium,7.0,8.0,Quand Tu Reviendras,1968
Kristina Hautala,Finland,16.0,1.0,Kun Kello Käy,1968
Isabelle Aubret,France,3.0,20.0,La Source,1968
Wencke Myhre,Germany,6.0,11.0,Ein Hoch Der Liebe,1968
Pat McGeegan,Ireland,4.0,18.0,Chance Of A Lifetime,1968
Sergio Endrigo,Italy,10.0,7.0,Marianne,1968
Chris Baldo and Sophie Garel,Luxembourg,11.0,5.0,Nous Vivrons D'amour,1968
Line and Willy,Monaco,7.0,8.0,A Chacun Sa Chanson,1968
Ronnie Tober,Netherlands,16.0,1.0,Morgen,1968
Odd Børre,Norway,13.0,2.0,Stress,1968
Carlos Mendes,Portugal,11.0,5.0,Verão,1968
Massiel,Spain,1.0,29.0,"La, La, La...",1968
Claes-Göran Hederström,Sweden,5.0,15.0,"Det Börjar Verka Kärlek, Banne Mej",1968
Gianni Mascolo,Switzerland,13.0,2.0,Guardando Il Sole,1968
Cliff Richard,United Kingdom,2.0,28.0,Congratulations,1968
Luci Kapurso and Hamo Hajdarhodzic,Yugoslavia,7.0,8.0,Jedan Dan,1968
Peter Horten,Austria,14.0,2.0,Warum Es Hunderttausend Sterne Gibt,1967
Louis Neefs,Belgium,7.0,8.0,Ik Heb Zorgen,1967
Fredi,Finland,12.0,3.0,Varjoon-suojaan,1967
Noëlle Cordier,France,3.0,20.0,Il Doit Faire Beau Là-bas,1967
Inge Brück,Germany,8.0,7.0,Anouschka,1967
Sean Dunphy,Ireland,2.0,22.0,If I Could Choose,1967
Claudio Villa,Italy,11.0,4.0,Non Andare Più Lontano,1967
Vicky,Luxembourg,4.0,17.0,L'amour Est Bleu,1967
Minouche Barelli,Monaco,5.0,10.0,Boum-badaboum,1967
Thérèse Steinmetz,Netherlands,14.0,2.0,Ring-dinge,1967
Kirsti Sparboe,Norway,14.0,2.0,Dukkemann,1967
Eduardo Nascimento,Portugal,12.0,3.0,O Vento Mudou,1967
Raphael,Spain,6.0,9.0,Hablemos Del Amor,1967
Östen Warnebring,Sweden,8.0,7.0,Som En Dröm,1967
Géraldine,Switzerland,17.0,0.0,Quel Coeur Vas-tu Briser?,1967
Sandie Shaw,United Kingdom,1.0,47.0,Puppet On A String,1967
Lado Leskovar,Yugoslavia,8.0,7.0,Vse Roze Sveta,1967
Udo Jürgens,Austria,1.0,31.0,Merci Chérie,1966
Tonia,Belgium,4.0,14.0,"Un Peu De Poivre, Un Peu De Sel",1966
Ulla Pia,Denmark,14.0,4.0,"Stop, Ja Stop - Ja Stop, Mens Legen Er Go",1966
Ann-Christine Nyström,Finland,10.0,7.0,Play-boy,1966
Dominique Walter,France,16.0,1.0,Chez Nous,1966
Margot Eskens,Germany,10.0,7.0,Die Zeiger Der Uhr,1966
Dickie Rock,Ireland,4.0,14.0,Come Back To Stay,1966
Domenico Modugno,Italy,17.0,0.0,Dio Come Ti Amo,1966
Michèle Torr,Luxembourg,10.0,7.0,Ce Soir Je T'attendais,1966
Tereza,Monaco,17.0,0.0,Bien Plus Fort,1966
Milly Scott,Netherlands,15.0,2.0,Fernando En Philippo,1966
Åse Kleveland,Norway,3.0,15.0,Intet Er Nytt Under Solen,1966
Madalena Iglesias,Portugal,13.0,6.0,Ele E Ela,1966
Raphael,Spain,7.0,9.0,Yo Soy Aquél,1966
Lill Lindfors and Svante Thuresson,Sweden,2.0,16.0,Nygammal Vals Eller Hip Man Svinaherde,1966
Madeleine Pascal,Switzerland,6.0,12.0,Ne Vois-tu Pas?,1966
Kenneth McKellar,United Kingdom,9.0,8.0,A Man Without Love,1966
Berta Ambroz,Yugoslavia,7.0,9.0,Brez Besed,1966
Udo Jürgens,Austria,4.0,16.0,"Sag Ihr, Ich Lass' Sie Grüßen",1965
Lize Marke,Belgium,15.0,0.0,Als Het Weer Lente Is,1965
Birgit Brüel,Denmark,7.0,10.0,For Din Skyld,1965
Viktor Klimenko,Finland,15.0,0.0,Aurinko Laskee Länteen,1965
Guy Mardel,France,3.0,22.0,N'avoue Jamais,1965
Ulla Wiesner,Germany,15.0,0.0,"Paradies, Wo Bist Du?",1965
Butch Moore,Ireland,6.0,11.0,I'm Walking The Streets In The Rain,1965
Bobby Solo,Italy,5.0,15.0,"Se Piangi, Se Ridi",1965
France Gall,Luxembourg,1.0,32.0,"Poupée De Cire, Poupée De Son",1965
Marjorie Noël,Monaco,9.0,7.0,Va Dire à L'amour,1965
Conny Van den bos,Netherlands,11.0,5.0,Het Is Genoeg,1965
Kirsti Sparboe,Norway,13.0,1.0,Karusell,1965
Simone de Oliviera,Portugal,13.0,1.0,Sol De Inverno,1965
Conchita Bautista,Spain,15.0,0.0,"Qué Bueno, Qué Bueno",1965
Ingvar Wixell,Sweden,10.0,6.0,Absent Friend,1965
Yovanna,Switzerland,8.0,8.0,Non à Jamais Sans Toi,1965
Kathy Kirby,United Kingdom,2.0,26.0,I Belong,1965
Vice Vukov,Yugoslavia,12.0,2.0,Ceznja,1965
Udo Jürgens,Austria,6.0,11.0,"Warum Nur, Warum?",1964
Robert Cogoi,Belgium,10.0,2.0,Près De Ma Rivière,1964
Bjørn Tidmand,Denmark,9.0,4.0,Sangen Om Dig,1964
Lasse Mårtenson,Finland,7.0,9.0,Laiskotellen,1964
Rachel,France,4.0,14.0,Le Chant De Mallory,1964
Nora Nova,Germany,13.0,0.0,Man Gewöhnt Sich So Schnell An Das Schöne,1964
Gigliola Cinquetti,Italy,1.0,49.0,Non Ho L'étà,1964
Hugues Aufray,Luxembourg,4.0,14.0,Dès Que Le Printemps Revient,1964
Romuald,Monaco,3.0,15.0,Où Sont-elles Passées?,1964
Anneke Grönloh,Netherlands,10.0,2.0,Jij Bent Mijn Leven,1964
Arne Bendiksen,Norway,8.0,6.0,Spiral,1964
António Calvário,Portugal,13.0,0.0,Oração,1964
"Tim, Nelly and Tony",Spain,12.0,1.0,Caracola,1964
Anita Traversi,Switzerland,13.0,0.0,I Miei Pensieri,1964
Matt Monro,United Kingdom,2.0,17.0,I Love The Little Things,1964
Sabahudin Kurt,Yugoslavia,13.0,0.0,Zivot Je Sklopio Krug,1964
Carmela Corren,Austria,7.0,16.0,Vielleicht Geschieht Ein Wunder,1963
Jacques Raymond,Belgium,10.0,4.0,Waarom,1963
Grethe and Jørgen Ingmann,Denmark,1.0,42.0,Dansevise,1963
Laila Halme,Finland,13.0,0.0,Muistojeni Laulu,1963
Alain Barrière,France,5.0,25.0,Elle était Si Jolie,1963
Heidi Brühl,Germany,9.0,5.0,Marcel,1963
Emilio Pericoli,Italy,3.0,37.0,Uno Per Tutte,1963
Nana Mouskouri,Luxembourg,8.0,13.0,A Force De Prier,1963
Françoise Hardy,Monaco,5.0,25.0,L'amour S'en Va,1963
Annie Palmen,Netherlands,13.0,0.0,Een Speeldoos,1963
Anita Thallaug,Norway,13.0,0.0,Solhverv,1963
José Guardiola,Spain,12.0,2.0,Algo Prodigioso,1963
Monica Zetterlund,Sweden,13.0,0.0,En Gång I Stockholm,1963
Esther Ofarim,Switzerland,2.0,40.0,T'en Va Pas,1963
Ronnie Carroll,United Kingdom,4.0,28.0,Say Wonderful Things,1963
Vice Vukov,Yugoslavia,11.0,3.0,Brodovi,1963
Eleonore Schwarz,Austria,13.0,0.0,Nur In Der Wiener Luft,1962
Fud Leclerc,Belgium,13.0,0.0,Ton Nom,1962
Ellen Winther,Denmark,10.0,2.0,Vuggevise,1962
Marion Rung,Finland,7.0,4.0,Tipi-tii,1962
Isabelle Aubret,France,1.0,26.0,Un Premier Amour,1962
Conny Froboess,Germany,6.0,9.0,Zwei Kleine Italiener,1962
Claudio Villa,Italy,9.0,3.0,"Addio, Addio",1962
Camillo Felgen,Luxembourg,3.0,11.0,Petit Bonhomme,1962
François Deguelt,Monaco,2.0,13.0,Dis Rien,1962
De Spelbrekers,Netherlands,13.0,0.0,Katinka,1962
Inger Jacobsen,Norway,10.0,2.0,"Kom Sol, Kom Regn",1962
Victor Balaguer,Spain,13.0,0.0,Llámame,1962
Inger Berggren,Sweden,7.0,4.0,Sol Och Vår,1962
Jean Philippe,Switzerland,10.0,2.0,Le Retour,1962
Ronnie Carroll,United Kingdom,4.0,10.0,Ring-a-ding Girl,1962
Lola Novakovic,Yugoslavia,4.0,10.0,Ne Pali Svetlo U Sumrak,1962
Jimmy Makulis,Austria,15.0,1.0,Sehnsucht,1961
Bob Benny,Belgium,15.0,1.0,"September, Gouden Roos",1961
Dario Campeotto,Denmark,5.0,12.0,Angelique,1961
Laila Kinnunen,Finland,10.0,6.0,Valoa Ikkunassa,1961
Jean-Paul Mauric,France,4.0,13.0,Printemps (avril Carillonne),1961
Lale Andersen,Germany,13.0,3.0,Einmal Sehen Wir Uns Wieder,1961
Betty Curtis,Italy,5.0,12.0,Al Di Là,1961
Jean-Claude Pascal,Luxembourg,1.0,31.0,Nous Les Amoureux,1961
Colette Deréal,Monaco,10.0,6.0,"Allons, Allons Les Enfants",1961
Greetje Kauffeld,Netherlands,10.0,6.0,Wat Een Dag,1961
Nora Brockstedt,Norway,7.0,10.0,Sommer I Palma,1961
Conchita Bautista,Spain,9.0,8.0,Estando Contigo,1961
Lill-Babs,Sweden,14.0,2.0,"April, April",1961
Franca di Rienzo,Switzerland,3.0,16.0,Nous Aurons Demain,1961
The Allisons,United Kingdom,2.0,24.0,Are You Sure?,1961
Ljiljana Petrovic,Yugoslavia,8.0,9.0,Neke Davne Zvezde,1961
Harry Winter,Austria,7.0,6.0,Du Hast Mich So Fasziniert,1960
Fud Leclerc,Belgium,6.0,9.0,Mon Amour Pour Toi,1960
Katy Bødtger,Denmark,10.0,4.0,Det Var En Yndig Tid,1960
Jacqueline Boyer,France,1.0,32.0,Tom Pillibi,1960
Wyn Hoop,Germany,4.0,11.0,"Bonne Nuit, Ma Chérie!",1960
Renato Rascel,Italy,8.0,5.0,Romantica,1960
Camillo Felgen,Luxembourg,13.0,1.0,So Laang We's Du Do Bast,1960
François Deguelt,Monaco,3.0,15.0,Ce Soir-là,1960
Rudi Carrell,Netherlands,12.0,2.0,Wat Een Geluk,1960
Nora Brockstedt,Norway,4.0,11.0,Voi-voi,1960
Siw Malmkvist,Sweden,10.0,4.0,Alla Andra Får Varann,1960
Anita Traversi,Switzerland,8.0,5.0,Cielo E Terra,1960
Bryan Johnson,United Kingdom,2.0,25.0,"Looking High, High, High",1960
Ferry Graf,Austria,9.0,4.0,Der K. Und K. Kalypso Aus Wien,1959
Bob Benny,Belgium,6.0,9.0,Hou Toch Van Mij,1959
Birthe Wilke,Denmark,5.0,12.0,Uh-jeg Ville Ønske Jeg Var Dig,1959
Jean Philippe,France,3.0,15.0,"Oui, Oui, Oui, Oui",1959
Alice and Ellen Kessler,Germany,8.0,5.0,Heut' Woll'n Wir Tanzen Geh'n,1959
Domenico Modugno,Italy,6.0,9.0,Piove,1959
Jacques Pills,Monaco,11.0,1.0,Mon Ami Pierrot,1959
Teddy Scholten,Netherlands,1.0,21.0,Een Beetje,1959
Brita Borg,Sweden,9.0,4.0,Augustin,1959
Christa Williams,Switzerland,4.0,14.0,Irgendwoher,1959
Pearl Carr and Teddy Johnson,United Kingdom,2.0,16.0,Sing Little Birdie,1959
Liane Augustin,Austria,5.0,8.0,Die Ganze Welt Braucht Liebe,1958
Fud Leclerc,Belgium,5.0,8.0,Ma Petite Chatte,1958
Raquel Rastenni,Denmark,8.0,3.0,Jeg Rev Et Blad Ud Af Min Dagbog,1958
André Claveau,France,1.0,27.0,Dors Mon Amour,1958
Margot Hielscher,Germany,7.0,5.0,Für Zwei Groschen Musik,1958
Domenico Modugno,Italy,3.0,13.0,Nel Blu Dipinto Di Blu,1958
Solange Berry,Luxembourg,9.0,1.0,Un Grand Amour,1958
Corry Brokken,Netherlands,9.0,1.0,Heel De Wereld,1958
Alice Babs,Sweden,4.0,10.0,Lilla Stjärna,1958
Lys Assia,Switzerland,2.0,24.0,Giorgio,1958
Bob Martin,Austria,10.0,3.0,"Wohin, Kleines Pony",1957
Bobbejaan Schoepen,Belgium,8.0,5.0,Straatdeuntje,1957
Birthe Wilke and Gustav Winckler,Denmark,3.0,10.0,Skibet Skal Sejle I Nat,1957
Paule Desjardins,France,2.0,17.0,La Belle Amour,1957
Margot Hielscher,Germany,4.0,8.0,"Telefon, Telefon",1957
Nunzio Gallo,Italy,6.0,7.0,Corde Della Mia Chitarra,1957
Danièle Dupré,Luxembourg,4.0,8.0,Tant De Peine,1957
Corry Brokken,Netherlands,1.0,31.0,Net Als Toen,1957
Lys Assia,Switzerland,8.0,5.0,L'enfant Que J'étais,1957
Patricia Bredin,United Kingdom,7.0,6.0,All,1957
Fud Leclerc,Belgium,2.0,0.0,Messieurs Les Noyés De La Seine,1956
Mony Marc,Belgium,2.0,0.0,Le Plus Beau Jour De Ma Vie,1956
Dany Dauberson,France,2.0,0.0,Il Est Là,1956
Mathé Altéry,France,2.0,0.0,Le Temps Perdu,1956
Freddy Quinn,Germany,2.0,0.0,So Geht Das Jede Nacht,1956
Walter Andreas Schwarz,Germany,2.0,0.0,Im Wartesaal Zum Großen Glück,1956
Franca Raimondi,Italy,2.0,0.0,Aprite Le Finestre,1956
Tonina Torielli,Italy,2.0,0.0,Amami Se Vuoi,1956
Michèle Arnaud,Luxembourg,2.0,0.0,Les Amants De Minuit,1956
Michèle Arnaud,Luxembourg,2.0,0.0,Ne Crois Pas,1956
Corry Brokken,Netherlands,2.0,0.0,Voorgoed Voorbij,1956
Jetty Paerl,Netherlands,2.0,0.0,De Vogels Van Holland,1956
Lys Assia,Switzerland,2.0,0.0,Das Alte Karussell,1956
Lys Assia,Switzerland,1.0,0.0,Refrain,1956
